concept,prefLabel,broad,altLabels
https://hdl.handle.net/20.500.11840/termmaster10078009,Gupta,https://hdl.handle.net/20.500.11840/termmaster10078004,
https://hdl.handle.net/20.500.11840/termmaster10060657,Ndende,https://hdl.handle.net/20.500.11840/termmaster10060654,
https://hdl.handle.net/20.500.11840/termmaster10054372,Annaba (plaats),https://hdl.handle.net/20.500.11840/termmaster10054371,Annaba (populated place) | Bône 
https://hdl.handle.net/20.500.11840/termmaster10068980,archeologische ecofacten,https://hdl.handle.net/20.500.11840/termmaster10068979,archaeological ecofacts | archeologische natuurvoorwerpen
https://hdl.handle.net/20.500.11840/termmaster10063676,Swat-vallei,https://hdl.handle.net/20.500.11840/termmaster10063674,Kuz | Swat Valley
https://hdl.handle.net/20.500.11840/termmaster10068354,achterstevens,https://hdl.handle.net/20.500.11840/termmaster10068353,sterns
https://hdl.handle.net/20.500.11840/termmaster10058493,Castrovirreyna,https://hdl.handle.net/20.500.11840/termmaster10058491,
https://hdl.handle.net/20.500.11840/termmaster10053962,Musaza,https://hdl.handle.net/20.500.11840/termmaster10053956,
https://hdl.handle.net/20.500.11840/termmaster10065783,tand en tandonderdelen,https://hdl.handle.net/20.500.11840/termmaster10065766,tooth and tooth components
https://hdl.handle.net/20.500.11840/termmaster10064093,Maldiven,https://hdl.handle.net/20.500.11840/termmaster10063638,Divehi | MDV  | Maldives
https://hdl.handle.net/20.500.11840/termmaster10055488,Älvsborg,https://hdl.handle.net/20.500.11840/termmaster10055432,
https://hdl.handle.net/20.500.11840/termmaster10064021,Ranchi,https://hdl.handle.net/20.500.11840/termmaster10064013,
https://hdl.handle.net/20.500.11840/termmaster10068055,harpoenen,https://hdl.handle.net/20.500.11840/termmaster10068044,harpoons
https://hdl.handle.net/20.500.11840/termmaster10079082,Singapadu,https://hdl.handle.net/20.500.11840/termmaster10063397,
https://hdl.handle.net/20.500.11840/termmaster10057021,Bensheim,https://hdl.handle.net/20.500.11840/termmaster10057005,
https://hdl.handle.net/20.500.11840/termmaster10054527,Metameur,https://hdl.handle.net/20.500.11840/termmaster10054522,Al Matamir
https://hdl.handle.net/20.500.11840/termmaster10059501,Virginia,https://hdl.handle.net/20.500.11840/termmaster10059451,
https://hdl.handle.net/20.500.11840/termmaster10065326,bladkoper,https://hdl.handle.net/20.500.11840/termmaster10065325,sheet copper
https://hdl.handle.net/20.500.11840/termmaster10064321,Heybeliada (eiland),https://hdl.handle.net/20.500.11840/termmaster10064319,Halki (eiland) | Hegbeli Ada | Heybeliada (island)
https://hdl.handle.net/20.500.11840/termmaster10078298,Igala,https://hdl.handle.net/20.500.11840/termmaster10078294,Atagara | Igara | Igula
https://hdl.handle.net/20.500.11840/termmaster10078426,Sankura,https://hdl.handle.net/20.500.11840/termmaster10078423,Bobo Dyula | Bobo-Gbe | Tara | Zara | Zaradan
https://hdl.handle.net/20.500.11840/termmaster10066231,violen,https://hdl.handle.net/20.500.11840/termmaster10066230,violins
https://hdl.handle.net/20.500.11840/termmaster10064807,kleurenlithografie (procedé),https://hdl.handle.net/20.500.11840/termmaster10064806,color lithography | kleurenlitho
https://hdl.handle.net/20.500.11840/termmaster10067633,zakspiegels,https://hdl.handle.net/20.500.11840/termmaster10067628,pocket mirrors
https://hdl.handle.net/20.500.11840/termmaster10055347,East London,https://hdl.handle.net/20.500.11840/termmaster10055345,
https://hdl.handle.net/20.500.11840/termmaster10057679,St.-Germain-sur-Ay,https://hdl.handle.net/20.500.11840/termmaster10057678,
https://hdl.handle.net/20.500.11840/termmaster10066059,panfluiten,https://hdl.handle.net/20.500.11840/termmaster10066058,panpipes
https://hdl.handle.net/20.500.11840/termmaster10053902,Capelongo,https://hdl.handle.net/20.500.11840/termmaster10053896,
https://hdl.handle.net/20.500.11840/termmaster10067469,gedenkbeeldhouwwerken,https://hdl.handle.net/20.500.11840/termmaster10067460,commemorative sculpture | gedachtenisbeelden
https://hdl.handle.net/20.500.11840/termmaster10058390,Guyana,https://hdl.handle.net/20.500.11840/termmaster10058073,GUY 
https://hdl.handle.net/20.500.11840/termmaster10050346,commodificeren van cultureel erfgoed,https://hdl.handle.net/20.500.11840/termmaster10048891,commercialiseren van cultureel erfgoed | commodification of cultural heritage
https://hdl.handle.net/20.500.11840/termmaster10056446,Urk,https://hdl.handle.net/20.500.11840/termmaster10056442,
https://hdl.handle.net/20.500.11840/termmaster10061467,Baliem-vallei,https://hdl.handle.net/20.500.11840/termmaster10061466,
https://hdl.handle.net/20.500.11840/termmaster10060070,Russell (NZL),https://hdl.handle.net/20.500.11840/termmaster10060069,Kororareka  
https://hdl.handle.net/20.500.11840/termmaster10070453,mokkakannen,https://hdl.handle.net/20.500.11840/termmaster10070440,mocha pots
https://hdl.handle.net/20.500.11840/termmaster10058948,Tres Zapotes,https://hdl.handle.net/20.500.11840/termmaster10058938,
https://hdl.handle.net/20.500.11840/termmaster10079704,theeproductie,https://hdl.handle.net/20.500.11840/termmaster10079636,tea production | theeonderneming
https://hdl.handle.net/20.500.11840/termmaster10062636,Kutai Barat (regentschap),https://hdl.handle.net/20.500.11840/termmaster10062627,Kutai Barat (kabupaten) | Kutai Barat (regency)
https://hdl.handle.net/20.500.11840/termmaster10056804,Kleinostheim,https://hdl.handle.net/20.500.11840/termmaster10056802,
https://hdl.handle.net/20.500.11840/termmaster10077676,Tuban,https://hdl.handle.net/20.500.11840/termmaster10077660,
https://hdl.handle.net/20.500.11840/termmaster10065015,scheringikat,https://hdl.handle.net/20.500.11840/termmaster10065013,ikat op de schering | warp ikat
https://hdl.handle.net/20.500.11840/termmaster10064623,Badghis (provincie),https://hdl.handle.net/20.500.11840/termmaster10064622,Badghis (province)
https://hdl.handle.net/20.500.11840/termmaster10060255,Gascoyne (regio),https://hdl.handle.net/20.500.11840/termmaster10060239,Gascoyne Region
https://hdl.handle.net/20.500.11840/termmaster10069520,japonnen naar functie,https://hdl.handle.net/20.500.11840/termmaster10069519,dresses by function
https://hdl.handle.net/20.500.11840/termmaster10062859,Dobo,https://hdl.handle.net/20.500.11840/termmaster10062858,
https://hdl.handle.net/20.500.11840/termmaster10058789,Sint Christoffelberg (berg),https://hdl.handle.net/20.500.11840/termmaster10058777,Sint Christoffelberg (mountain)
https://hdl.handle.net/20.500.11840/termmaster10065660,sumakhout,https://hdl.handle.net/20.500.11840/termmaster10065616,Rhus | shumac | sumac (wood) | sumach
https://hdl.handle.net/20.500.11840/termmaster10062616,Palung,https://hdl.handle.net/20.500.11840/termmaster10062615,Paloeng | Patoeng | Patung
https://hdl.handle.net/20.500.11840/termmaster10062697,Patani,https://hdl.handle.net/20.500.11840/termmaster10062694,
https://hdl.handle.net/20.500.11840/termmaster10078507,Li,https://hdl.handle.net/20.500.11840/termmaster10078504,Bali (Tikar) | Balis | Balu | Bani
https://hdl.handle.net/20.500.11840/termmaster10079285,relikwieën en voorouderschedels,https://hdl.handle.net/20.500.11840/termmaster10079283,relics and ancestor skulls
https://hdl.handle.net/20.500.11840/termmaster10055329,Witwatersrand (gebergte),https://hdl.handle.net/20.500.11840/termmaster10055352,Witwatersrand (scarp)
https://hdl.handle.net/20.500.11840/termmaster10069222,heuptassen,https://hdl.handle.net/20.500.11840/termmaster10069214,hip bags
https://hdl.handle.net/20.500.11840/termmaster10078787,Metoko,https://hdl.handle.net/20.500.11840/termmaster10078773,Banyamituku | Mituku
https://hdl.handle.net/20.500.11840/termmaster10071436,katoenpersen,https://hdl.handle.net/20.500.11840/termmaster10071433,cotton presses
https://hdl.handle.net/20.500.11840/termmaster10077393,Mindoro,https://hdl.handle.net/20.500.11840/termmaster10077369,
https://hdl.handle.net/20.500.11840/termmaster10056482,Barton,https://hdl.handle.net/20.500.11840/termmaster10056481,
https://hdl.handle.net/20.500.11840/termmaster10063901,Kargil,https://hdl.handle.net/20.500.11840/termmaster10063883,
https://hdl.handle.net/20.500.11840/termmaster10055186,Kantche,https://hdl.handle.net/20.500.11840/termmaster10055178,
https://hdl.handle.net/20.500.11840/termmaster10054772,Djibouti (staat),https://hdl.handle.net/20.500.11840/termmaster10054600,DJI | Djibouti (independent state)
https://hdl.handle.net/20.500.11840/termmaster10058096,Cassipora Kreek (rivier),https://hdl.handle.net/20.500.11840/termmaster10058084,Cassipora Kreek (river)
https://hdl.handle.net/20.500.11840/termmaster10054634,Bonga,https://hdl.handle.net/20.500.11840/termmaster10054629,
https://hdl.handle.net/20.500.11840/termmaster10070414,warmwaterborden,https://hdl.handle.net/20.500.11840/termmaster10070413,hot water plates
https://hdl.handle.net/20.500.11840/termmaster10066914,slachthuizen,https://hdl.handle.net/20.500.11840/termmaster10066913,abattoirs | slaughterhouses
https://hdl.handle.net/20.500.11840/termmaster10068221,zegels (ruilmiddelen),https://hdl.handle.net/20.500.11840/termmaster10068126,stamps (exchange media)
https://hdl.handle.net/20.500.11840/termmaster10078793,Ngala,https://hdl.handle.net/20.500.11840/termmaster10078771,Bamangala | Bangala | Bangoli | Gens d'Eau | Mongala | Ngola
https://hdl.handle.net/20.500.11840/termmaster10069887,wenskaarten,https://hdl.handle.net/20.500.11840/termmaster10069880,greeting cards
https://hdl.handle.net/20.500.11840/termmaster10063697,Sindh (provincie),https://hdl.handle.net/20.500.11840/termmaster10063663,Sindh (province)
https://hdl.handle.net/20.500.11840/termmaster10076011,Tepehuas,https://hdl.handle.net/20.500.11840/termmaster10076005,Tepehua | Tepehuan
https://hdl.handle.net/20.500.11840/termmaster10058164,Kentoefoe,https://hdl.handle.net/20.500.11840/termmaster10058104,Kentoefoe-val
https://hdl.handle.net/20.500.11840/termmaster10059319,Palenque,https://hdl.handle.net/20.500.11840/termmaster10059313,
https://hdl.handle.net/20.500.11840/termmaster10066178,klokken (idiofonen),https://hdl.handle.net/20.500.11840/termmaster10066172,bellen | bells (idiophones)
https://hdl.handle.net/20.500.11840/termmaster10055164,Dala,https://hdl.handle.net/20.500.11840/termmaster10055158,Dalla | Dallah
https://hdl.handle.net/20.500.11840/termmaster10068357,mangatonderdelen (vaartuigonderdelen),https://hdl.handle.net/20.500.11840/termmaster10068356,
https://hdl.handle.net/20.500.11840/termmaster10066501,altaarbakken,https://hdl.handle.net/20.500.11840/termmaster10066500,
https://hdl.handle.net/20.500.11840/termmaster10063096,Badran,https://hdl.handle.net/20.500.11840/termmaster10063093,
https://hdl.handle.net/20.500.11840/termmaster10068256,verkennings- en inlichtingenschepen,https://hdl.handle.net/20.500.11840/termmaster10068253,patrol and intelligence vessels
https://hdl.handle.net/20.500.11840/termmaster10063267,Panawangan,https://hdl.handle.net/20.500.11840/termmaster10063266,
https://hdl.handle.net/20.500.11840/termmaster10066938,stèles,https://hdl.handle.net/20.500.11840/termmaster10066935,stelae
https://hdl.handle.net/20.500.11840/termmaster10066672,voorpleinen,https://hdl.handle.net/20.500.11840/termmaster10066671,forecourts | voorhoven
https://hdl.handle.net/20.500.11840/termmaster10079520,wierook,https://hdl.handle.net/20.500.11840/termmaster10065494,incense | wierookhars
https://hdl.handle.net/20.500.11840/termmaster10057441,Saintes-Maries-de-la-Mer,https://hdl.handle.net/20.500.11840/termmaster10057436,
https://hdl.handle.net/20.500.11840/termmaster10066212,dooslieren,https://hdl.handle.net/20.500.11840/termmaster10066211,box lyres
https://hdl.handle.net/20.500.11840/termmaster10075882,Clactoniën,https://hdl.handle.net/20.500.11840/termmaster10075879,Clactoniaan | Clactonian
https://hdl.handle.net/20.500.11840/termmaster10063106,Kerteg,https://hdl.handle.net/20.500.11840/termmaster10063101,Kreteg
https://hdl.handle.net/20.500.11840/termmaster10070443,saké-kruiken,https://hdl.handle.net/20.500.11840/termmaster10070440,saké jars
https://hdl.handle.net/20.500.11840/termmaster10071842,camera's naar vorm of functie,https://hdl.handle.net/20.500.11840/termmaster10071841,cameras by form or function
https://hdl.handle.net/20.500.11840/termmaster10062588,Hulu Sungai Utara (regentschap),https://hdl.handle.net/20.500.11840/termmaster10062573,Hulu Sungai Utara (kabupaten) | Hulu Sungai Utara (regency)
https://hdl.handle.net/20.500.11840/termmaster10069405,kronen (hoofdtooien),https://hdl.handle.net/20.500.11840/termmaster10069404,crowns (headdresses) | koningskronen | priesterkronen
https://hdl.handle.net/20.500.11840/termmaster10066974,voetgangersbruggen,https://hdl.handle.net/20.500.11840/termmaster10066970,footbridges
https://hdl.handle.net/20.500.11840/termmaster10076243,Yankton,https://hdl.handle.net/20.500.11840/termmaster10076240,Nakota
